Kashmir Mahal Resorts	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Hotel Midtown	[1: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 2: ¬(Food & Drink_Restaurant; 1)=0.42 3: ¬(Media & Technology_Flat-screen TV; 1)=0.37]
Hotel Balaji International	[1: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.45 2: ¬(property_type; 204)=0.38 3: ¬(Food & Drink_Breakfast in the room; 1)=0.36]
Hotel Siddharth	[1: ¬(Bathroom_Toilet; 1)=0.77 2: ¬(General_Air conditioning; 1)=0.64 3: ¬(Cleaning services_Laundry; 1)=0.55]
ANYA Hotel Gurgaon	[1: ¬(General_Safety deposit box; 1)=0.64 2: ¬(Business facilities_Business centre; 1)=0.58 3: ¬(Outdoors_Garden; 1)=0.56]
OYO Rooms CT Road 2	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
Green Garden Home Stay.	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(General_Air conditioning; 1)=0.54 3: ¬(General_Newspapers; 1)=0.54]
OYO Rooms Near Bhakti Shakti	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Hotel Jaisalkot	[1: ¬(Bathroom_Bathroom; 1)=0.81 2: ¬(General_Air conditioning; 1)=0.75 3: ¬(Cleaning services_Ironing service; 1)=0.72]
OYO Rooms Singh Dwar Ganga Ghat	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Hotel Chanakya	[1: ¬(Food & Drink_Restaurant; 1)=0.5 2: ¬(Reception services_24-hour front desk; 1)=0.48 3: ¬(General_Room service; 1)=0.45]
Safeway Serviced Apartments	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Bathroom; 1)=0.59 3: ¬(Bathroom_Toilet; 1)=0.59]
ACE Villas	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
Danish Homestay	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
FabHotel Address Inn	[1: ¬(General_Room service; 1)=0.75 2: ¬(Food & Drink_Restaurant; 1)=0.69 3: ¬(General_Safety deposit box; 1)=0.66]
Vibe Coimbatore by GRT Hotels	[1: ¬(property_type; 204)=0.8 2: ¬(General_Newspapers; 1)=0.78 3: ¬(Bathroom_Bathroom; 1)=0.74]
Hotel Vinayaga Inn Ooty	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
Hotel Mai Vrindavan	[1: ¬(General_Air conditioning; 1)=0.81 2: ¬(Business facilities_Meeting/banquet facilities; 1)=0.69 3: ¬(Cleaning services_Ironing service; 1)=0.67]
Kumarakom Heritage Houseboats	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Hotel Lotus Grand	[1: ¬(Bathroom_Toilet; 1)=0.59 2: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 3: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.45]
Shaam E Jaisal Camp	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(General_Air conditioning; 1)=0.54 3: ¬(General_Newspapers; 1)=0.54]
OYO Rooms AIIMS Rishikesh	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
The Haven Coorg Homestay	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
Hotel Sky Heights	[1: ¬(Bedroom_Wardrobe/Closet; 1)=0.49 2: ¬(Reception services_Tour desk; 1)=0.47 3: ¬(General_Car hire; 1)=0.45]
Shivanand Lodge	[1: ¬(Bathroom_Shower; 1)=0.66 2: ¬(Cleaning services_Laundry; 1)=0.63 3: ¬(Bathroom_Free toiletries; 1)=0.55]
Vista Rooms at Bapu Gandhi Nagar	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
Hotel Palm View Residency	[1: ¬(General_Newspapers; 1)=0.78 2: ¬(General_Room service; 1)=0.65 3: ¬(Cleaning services_Laundry; 1)=0.63]
Paradise Guest House	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(General_Air conditioning; 1)=0.54 3: ¬(General_Newspapers; 1)=0.54]
Ranga maalika The heritage spiritual retreat	[1: ¬(property_type; 204)=0.79 2: ¬(General_Air conditioning; 1)=0.64 3: ¬(Food & Drink_Restaurant; 1)=0.64]
